date,open,high,low,close,volume
2019-03-20,88.5,88.5,85.82,87.17,8814118.0
2019-03-21,87.0,88.4,85.95,87.12,8135960.0
2019-03-22,87.12,87.12,85.21,86.58,6018992.0
2019-03-25,87.97,90.58,87.02,89.0,12990646.0
2019-03-26,88.02,88.49,84.9,85.3,9719783.0
2019-03-27,85.5,86.54,82.3,83.41,9492122.0
2019-03-28,83.34,84.36,82.1,83.2,5857193.0
2019-03-29,83.42,85.0,82.65,85.0,7124126.0
2019-04-01,85.16,86.96,85.0,86.35,9239090.0
2019-04-02,86.35,86.43,84.33,84.98,10241327.0
2019-04-03,84.8,85.2,83.88,84.48,7184038.0
2019-04-04,84.63,85.16,84.0,84.17,6679609.0
2019-04-08,84.71,84.9,81.1,82.29,11376979.0
2019-04-09,84.76,85.25,82.9,83.91,11942266.0
2019-04-10,83.81,83.81,81.7,82.24,10840837.0
2019-04-11,82.25,82.6,80.58,80.72,8953765.0
2019-04-12,80.92,82.61,80.91,81.98,5935673.0
2019-04-15,82.8,83.01,80.95,80.97,5995060.0
2019-04-16,80.5,82.27,80.37,82.27,5718722.0
2019-04-17,83.5,86.28,83.5,86.11,20500478.0
2019-04-18,86.12,86.3,84.42,84.65,7061781.0
2019-04-19,84.52,84.99,82.9,83.2,6296775.0
2019-04-22,83.21,83.6,81.03,81.23,6649229.0
2019-04-23,80.5,80.65,75.01,78.17,11525936.0
2019-04-24,78.18,79.86,77.4,79.78,5134374.0
2019-04-25,78.59,80.86,78.1,79.1,5297314.0
2019-04-26,79.0,80.35,78.98,79.35,3491801.0
2019-04-29,80.99,81.37,79.15,79.78,4788277.0
2019-04-30,79.8,80.58,79.15,79.76,3109077.0
2019-05-06,76.87,77.66,75.06,75.7,6543106.0
2019-05-07,76.0,77.42,75.62,75.85,3711940.0
2019-05-08,74.9,76.17,73.7,74.61,3499581.0
2019-05-09,74.0,75.09,72.63,72.7,4813423.0
2019-05-10,73.48,74.49,70.72,74.1,5407424.0
2019-05-13,73.05,73.26,71.26,71.59,4632721.0
2019-05-14,71.92,73.2,71.91,72.16,4332993.0
2019-05-15,72.5,75.15,72.5,74.98,6619534.0
